GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
AL031429.1            1   71413062   71417176     10       4  155987       1.5424     0.061492
ZRANB2-AS1            1   71514538   71532867      2       1  173005       1.2118       0.1128
NEGR1                 1   71861623   72748417      2       1  173005       4.4944   3.4882e-06
RN7SKP19              1   73657287   73657538      2       1  134142       4.5007   3.3872e-06
AL591463.1            1   74253053   74381023      1       1  173005      0.33106       0.3703
AC093158.1            1   74807263   74844486      2       1  173005       1.5849     0.056495
CRYZ                  1   75171170   75199092      5       3  151971       1.4761     0.069962
AC093156.1            1   75987247   75987916      4       1  101373       1.0522      0.14636
RABGGTB               1   76251879   76260764      1       1  173005       1.2128       0.1126
ST6GALNAC3            1   76540404   77100286     23      10  162475      0.18136      0.42804
ST6GALNAC5            1   77333126   77531396      2       1  172750      -1.4083      0.92047
AK5                   1   77747736   78025651      1       1  173005       1.6247      0.05211
AC093575.1            1   77896999   77903289      1       1  173005      0.88789       0.1873
HSPE1P25              1   78319040   78319578      1       1  173005     -0.41738       0.6618
NEXN                  1   78354198   78409580      1       1  173005      0.29866       0.3826
GIPC2                 1   78445226   78604133      1       1  173005      -1.2948       0.9023
AC103591.3            1   78470030   78470238     10       5  171488       1.0047      0.15751
IFI44                 1   79115481   79129763      1       1  173005        1.401      0.08061
ADGRL4                1   79355449   79472403     11       4  168964      0.11941      0.45248
AL353651.2            1   79789454   79790537      1       1  173005       1.8465      0.03241
AL357632.1            1   81674253   81674895      3       2  101128       1.1227      0.13078
ADGRL2                1   81771845   82458120      3       1  116284      0.95553      0.16966
AL138799.3            1   81979565   82023387      2       1  173005       1.3159     0.094106
MED28P8               1   82022806   82023517      6       3  169081     -0.35936      0.64034
AL157944.1            1   82678097   83313888      2       1  167247       0.2477      0.40218
LINC01361             1   83439565   83451891      1       1  173005      0.77557        0.219
AL035706.1            1   84255963   84267148      2       1  173005     -0.10735      0.54274
TTLL7                 1   84330711   84464833      6       3  131005     -0.03101      0.51237
AL359504.1            1   84542014   84543614      2       1  101373      0.32877      0.37117
PRKACB                1   84543745   84704181      4       1  150700     -0.41878      0.66231
SAMD13                1   84764049   84855640      1       1  173005       2.0657      0.01943
DNASE2B               1   84864215   84880701      3       2  114991      -1.1657      0.87813
GNG5                  1   84964008   84972248      6       4  125588      -1.8536       0.9681
SPATA1                1   84971974   85031877     22       8  161732      -1.0473      0.85253
AL359762.1            1   85039812   85049303      3       2  129403      0.57857      0.28144
SSX2IP                1   85109390   85156486      9       6  152306       0.3809      0.35164
LPAR3                 1   85277285   85358896      1       1  173005      0.98423       0.1625
DDAH1                 1   85784164   86043933      5       3  173005      0.99336      0.16027
AC092807.4            1   85947964   86043933      1       1   42455       1.0152        0.155
CCN1                  1   86046444   86049645      9       5  157503     -0.12185      0.54849
AC092807.2            1   86064814   86066417      1       1  171560     -0.52296       0.6995
COL24A1               1   86194916   86622626      2       1  173005      -1.9177      0.97243
ODF2L                 1   86814344   86862023      2       1   68867     -0.73984       0.7703
CLCA2                 1   86889769   86922241      1       1  169620      0.70502       0.2404
CLCA1                 1   86934051   86965972     18       7  164341      -1.4785      0.93036
SH3GLB1               1   87170259   87213867      1       1  173005      -1.1547       0.8759
HS2ST1                1   87380331   87602334      1       1  173005       1.1349       0.1282
LINC01140             1   87595448   87634881      2       1  173005     0.019906      0.49206
LINC02801             1   87678352   87730424      1       1  173005       -1.019       0.8459
GTF2B                 1   89318615   89357627      2       1  151461      -1.1323      0.87124
GBP1                  1   89518002   89531043      3       2  160848      0.38243      0.35107
AC104459.1            1   89594115   89610378      2       1  105273      0.20193      0.41998
GBP4                  1   89646831   89664615     18       8  140928      -0.3259      0.62775
AC099063.1            1   89726265   89735437      1       1  173005     -0.38559       0.6501
AC093423.3            1   90098699   90398809      1       1  173005      0.13299       0.4471
LRRC8D                1   90286573   90402170      1       1  173005       1.3162      0.09406
AL627316.1            1   90853750   90885953      3       2  106640      0.11926      0.45254
BARHL2                1   91177096   91182794      3       1  118960       2.1543     0.015609
AC092805.1            1   91185133   91191177      7       4  164415      0.50856      0.30553
LINC02609             1   91248543   91317207      4       2  132590      0.55637      0.28898
